,iteration,loss,dist,C,gamma
0,0,-0.9558,0,6771.467601414724,0.02395582318998404
1,1,-0.9261,0,617.4556664104181,0.07026479659944344
2,2,-0.9351,0,3346.7308454656263,0.06835606042998928
3,3,-0.9201,0,135.47705604079232,0.08304007082171656
4,4,-0.9338,0,4116.318381644873,0.07034430074544877
5,5,-0.8929,0,3595.760572418843,0.08776863550693076
6,6,-0.8573,0,4315.1563361644785,0.09675661207703773
7,7,-0.9379,0,968.0936791464453,0.06497214310244166
8,8,-0.9352,0,7389.055258338756,0.031615229153091964
9,9,-0.944,0,5185.998953268748,0.0447429478588068
10,10,-0.9524,0,6734.582983094668,0.011648659744694216
11,11,-0.9251,0,6081.52784621561,0.06464157420944239
12,12,-0.9136,0,8677.919962398728,0.0794705903113164
13,13,-0.9418,0,3167.5257226899525,0.02047163526733179
14,14,-0.9477,0,4778.402599372895,0.04619864854459178
15,15,-0.8974,0,8892.762716369649,0.08847202737469029
16,16,-0.932,0,4713.405844190574,0.07010229402915835
17,17,-0.9186,0,1571.6794703323712,0.08220578136671901
18,18,-0.932,0,7878.0952724562585,0.06789396184973566
19,19,-0.908,0,7753.813269772952,0.05237703888390824
20,20,-0.9453,0,6351.851859584179,0.004248518644015906
21,21,-0.9382,0,9965.5081276765,0.0052122010975797824
22,22,-0.9511,0,6356.160860375378,0.016742596323323925
23,23,-0.9503,0,9513.147960784016,0.028578182278763894
24,24,-0.8841,0,7011.802900082421,0.015936084307845728
25,25,-0.947,0,5423.820469364412,0.034600680054487826
26,26,-0.9464,0,2218.7061730915534,0.010157316224666313
27,27,-0.9396,0,8378.209925849504,0.022497845970470214
28,28,-0.9286,0,5806.752428232815,0.0005508076414621095
29,29,-0.9482,0,6814.808892971746,0.03817058890426323
30,30,-0.9187,0,9568.28163720376,0.053819879809238746
31,31,-0.9376,0,8102.556867399689,0.008719173685584315
32,32,-0.9446,0,7002.8151458483435,0.0263258024275209
33,33,-0.9407,0,2759.354772232524,0.0395761500330854
34,34,-0.816,0,3933.8534440932794,0.01350094659551877
35,35,-0.9464,0,8955.497676640778,0.02232766266238511
36,36,-0.918,0,5689.15646362466,0.0003305439665876771
37,37,-0.9217,0,7458.149693308333,0.05933155848035807
38,38,-0.9371,0,4578.175634523612,0.040311401073070935
39,39,-0.9534,0,5232.522684669353,0.033459179562266884
