iteration,pure_loss,dist
1,1.178636,1.629226
2,152.652621,4.491321
3,17.558074,2.863353
4,0.477722,1.29509
5,150.9,5.078004
6,119.773013,4.945556
7,9.755976,1.786506
8,48.48902,2.526038
9,162.9,4.56111
10,2.180352,1.471295
11,47.219923,3.575701
12,52.514667,2.746972
13,52.657993,2.777208
14,7.592676,2.100206
15,47.735298,3.409795
16,47.741247,2.656799
17,1.324415,1.204598
18,0.885509,0.867468
19,-0.378269,0.920916
20,0.588175,2.240004
21,2.160837,2.136528
22,2.17503,1.836728
23,-0.579921,1.190442
24,2.252396,1.823279
25,1.871295,1.293602
26,-0.857352,1.030966
27,-0.184751,2.699944
28,0.585435,2.156223
29,72.510737,3.698101
30,-0.422999,0.964303
31,0.82134,0.858895
32,0.859899,2.155463
33,1.851238,2.083545
34,1.019471,1.216068
35,2.405147,1.59883
36,3.015726,2.343636
37,0.679155,2.059334
38,-0.699454,1.345233
39,-0.297762,0.940844
40,-0.955892,1.238777
